Time [s],Value,Parity Error,Framing Error

TX1
01 A4 80 03 00 08 02 00 06 01 01 01 0C 04 00 BA DE
2.60909,'255' (0xFF),,
2.60937675,9 (0x39),,
2.6096634375,'0' (0x00),,
2.609950125,'2' (0x02),,
2.610236875,'196' (0xC4),,		(Mains Voltage #1)
2.6105235625,'0' (0x00),,
2.6108103125,'193' (0xC1),,
2.611097,'222' (0xDE),,
**********************************************************************


TX11
01 A4 80 03 00 08 02 00 05 02 FF FF 01 0D 00 26 62
2.6261698125,'1' (0x01),,
2.6264303125,'164' (0xA4),,
2.62669075,'128' (0x80),,
2.6269511875,'3' (0x03),,
2.627211625,'0' (0x00),,
2.6274720625,'8' (0x08),,
2.6277325,'2' (0x02),,
2.6279929375,'0' (0x00),,
2.628253375,'5' (0x05),,
2.6285138125,'2' (0x02),,
2.62877425,'255' (0xFF),,
2.6290346875,'255' (0xFF),,
2.629295125,'1' (0x01),,
2.6295555625,\r (0x0D),,
2.629816,'0' (0x00),,
2.6300764375,& (0x26),,
2.630336875,b (0x62),,

RX11
01 A4 80 00 03 09 02 03 05 02 FF FF 01 0D 01 01 72 76
2.7019605,'1' (0x01),,
2.7022470625,'164' (0xA4),,
2.70253375,'128' (0x80),,
2.7028205,'0' (0x00),,
2.7031071875,'3' (0x03),,
2.7033939375,\t (0x09),,
2.703680625,'2' (0x02),,
2.703967375,'3' (0x03),,
2.7042540625,'5' (0x05),,
2.7045408125,'2' (0x02),,
2.7048275,'255' (0xFF),,
2.70511425,'255' (0xFF),,
2.705401,'1' (0x01),,
2.7056876875,\r (0x0D),,
2.705974375,'1' (0x01),,
2.7062610625,'1' (0x01),,
2.7065478125,r (0x72),,
2.7068345,v (0x76),,
**********************************************************************


TX12
01 A4 80 03 00 08 02 00 05 02 07 FF 03 00 00 A2 66
2.7265959375,'1' (0x01),,
2.726856375,'164' (0xA4),,
2.7271168125,'128' (0x80),,
2.72737725,'3' (0x03),,
2.7276376875,'0' (0x00),,
2.727898125,'8' (0x08),,
2.7281585625,'2' (0x02),,
2.728419,'0' (0x00),,
2.7286794375,'5' (0x05),,
2.728939875,'2' (0x02),,
2.729200375,'7' (0x07),,
2.7294608125,'255' (0xFF),,
2.72972125,'3' (0x03),,
2.7299816875,'0' (0x00),,
2.730242125,'0' (0x00),,
2.7305025625,'162' (0xA2),,
2.730763,f (0x66),,

RX12
01 A4 80 00 03 0A 02 03 05 02 07 FF 03 00 02 60 00 D1 2C
2.7455154375,'1' (0x01),,
2.745802,'164' (0xA4),,
2.74608875,'128' (0x80),,
2.7463754375,'0' (0x00),,
2.7466621875,'3' (0x03),,
2.746948875,\n (0x0A),,
2.7472355625,'2' (0x02),,
2.7475223125,'3' (0x03),,
