Time [s],Value,Parity Error,Framing Error


TX1
01 A4 80 03 00 08 02 00 01 FF 00 00 01 18 00 9B 18
1.4841145625,'1' (0x01),,
1.484401125,'164' (0xA4),,
1.484687875,'128' (0x80),,
1.4849745625,'0' (0x00),,
1.48526125,'3' (0x03),,
1.485548,'8' (0x08),,
1.4858346875,'2' (0x02),,
1.4861214375,'20' (0x14),,
1.486408125,'3' (0x03),,
1.486694875,'1' (0x01),,
1.4869815625,'255' (0xFF),,
1.4872683125,'255' (0xFF),,
1.4875550625,'3' (0x03),,
1.48784175,'5' (0x05),,
1.4881284375,'0' (0x00),,
1.4884151875,'170' (0xAA),,
1.488701875,'169' (0xA9),,
***********************************************************************


TX11
01 A4 80 03 00 08 02 00 06 01 01 11 0D 06 00 DA 8A
1.512980875,'1' (0x01),,
1.5132413125,'164' (0xA4),,
1.51350175,'128' (0x80),,
1.5137621875,'3' (0x03),,
1.514022625,'0' (0x00),,
1.5142830625,'8' (0x08),,
1.5145435,'2' (0x02),,
1.5148039375,'0' (0x00),,
1.515064375,'6' (0x06),,
1.515324875,'1' (0x01),,
1.5155853125,'1' (0x01),,
1.51584575,'17' (0x11),,
1.5161061875,\r (0x0D),,
1.516366625,'6' (0x06),,
1.5166270625,'0' (0x00),,
1.5168875,'218' (0xDA),,
1.5171479375,'138' (0x8A),,

RX11
01 A4 80 00 03 0A 02 03 06 01 01 11 0D 06 02 00 00 33 48
1.52866,'1' (0x01),,
1.5289465625,'164' (0xA4),,
1.52923325,'128' (0x80),,
1.52952,'0' (0x00),,
1.5298066875,'3' (0x03),,
1.530093375,\n (0x0A),,
1.530380125,'2' (0x02),,
1.530666875,'3' (0x03),,
1.5309535625,'6' (0x06),,
1.53124025,'1' (0x01),,
1.531527,'1' (0x01),,
1.5318136875,'17' (0x11),,
1.5321004375,\r (0x0D),,
1.532387125,'6' (0x06),,
1.532673875,'2' (0x02),,
1.5329605625,'0' (0x00),,
1.5332473125,'0' (0x00),,
1.533534,3 (0x33),,
1.53382075,H (0x48),,
***********************************************************************


TX12
01 A4 80 03 00 08 02 00 06 01 01 11 0D 08 00 BA 8E
1.5422545,'1' (0x01),,
1.5425149375,'164' (0xA4),,
1.542775375,'128' (0x80),,
1.5430358125,'3' (0x03),,
1.54329625,'0' (0x00),,
1.5435566875,'8' (0x08),,
1.543817125,'2' (0x02),,
1.5440775625,'0' (0x00),,
1.544338,'6' (0x06),,
1.5445984375,'1' (0x01),,
1.544858875,'1' (0x01),,
1.5451193125,'17' (0x11),,
1.54537975,\r (0x0D),,
1.5456401875,'8' (0x08),,
1.545900625,'0' (0x00),,
1.5461610625,'186' (0xBA),,
1.5464215625,'142' (0x8E),,

RX12
01 A4 80 00 03 0A 02 03 06 01 01 11 0D 08 02 01 00 4B 4B
1.55855675,'1' (0x01),,
1.5588433125,'164' (0xA4),,
1.5591300625,'128' (0x80),,
1.55941675,'0' (0x00),,
1.5597034375,'3' (0x03),,
1.5599901875,\n (0x0A),,
1.560276875,'2' (0x02),,
1.560563625,'3' (0x03),,
1.5608503125,'6' (0x06),,
1.5611370625,'1' (0x01),,
1.56142375,'1' (0x01),,
1.5617105,'17' (0x11),,
1.5619971875,\r (0x0D),,
1.5622839375,'8' (0x08),,
1.562570625,'2' (0x02),,
1.5629095,'1' (0x01),,
1.5631961875,'0' (0x00),,
1.5634829375,K (0x4B),,
1.563769625,K (0x4B),,
***********************************************************************

TX13
01 A4 80 03 00 08 02 00 06 01 01 11 0D 07 00 4A 8B
1.63301825,'1' (0x01),,
1.6332786875,'164' (0xA4),,
1.633539125,'128' (0x80),,
1.6337995625,'3' (0x03),,
1.63406,'0' (0x00),,
1.6343204375,'8' (0x08),,
1.634580875,'2' (0x02),,
1.6348413125,'0' (0x00),,
1.6351018125,'6' (0x06),,
1.63536225,'1' (0x01),,
1.6356226875,'1' (0x01),,
1.635883125,'17' (0x11),,
1.6361435625,\r (0x0D),,
1.636404,'7' (0x07),,
1.6366644375,'0' (0x00),,
1.636924875,J (0x4A),,
1.6371853125,'139' (0x8B),,

RX13
01 A4 80 00 03 0A 02 03 06 01 01 11 0D 07 02 00 00 CF 49
1.6700375625,'1' (0x01),,
1.670324125,'164' (0xA4),,
1.670610875,'128' (0x80),,
1.6708975625,'0' (0x00),,
1.6711843125,'3' (0x03),,
1.671471,\n (0x0A),,
1.67175775,'2' (0x02),,
1.6720444375,'3' (0x03),,
1.6723311875,'6' (0x06),,
1.672617875,'1' (0x01),,
1.6729045625,'1' (0x01),,
1.6731913125,'17' (0x11),,
1.673478,\r (0x0D),,
1.67376475,'7' (0x07),,
1.6740514375,'2' (0x02),,
1.6743381875,'0' (0x00),,
1.674624875,'0' (0x00),,
1.674911625,'207' (0xCF),,
1.6751983125,I (0x49),,
***********************************************************************

TX14
01 A4 80 03 00 08 02 00 06 01 01 11 0D 09 00 2A 8F
1.69234675,'1' (0x01),,
1.6926071875,'164' (0xA4),,
1.692867625,'128' (0x80),,
1.693128125,'3' (0x03),,
1.6933885625,'0' (0x00),,
1.693649,'8' (0x08),,
1.6939094375,'2' (0x02),,
1.694169875,'0' (0x00),,
1.6944303125,'6' (0x06),,
1.69469075,'1' (0x01),,
1.6949511875,'1' (0x01),,
1.695211625,'17' (0x11),,
1.6954720625,\r (0x0D),,
1.6957325,\t (0x09),,
1.6959929375,'0' (0x00),,
1.696253375,* (0x2A),,
1.6965138125,'143' (0x8F),,

RX14
01 A4 80 00 03 0A 02 03 06 01 01 11 0D 09 02 C8 00 E7 1C
1.70710225,'1' (0x01),,
1.707388875,'164' (0xA4),,
1.7076755625,'128' (0x80),,
1.70796225,'0' (0x00),,
1.708249,'3' (0x03),,
1.7085356875,\n (0x0A),,
